Date,AAL.L,BARC.L,BP.L,HSBA.L,LLOY.L,RBS.L,RDSA.L,RIO.L
2009-07-14,-0.04611186903137787,0.033589745766366974,-0.03306124897959184,0.002551497546614323,-0.03591075201141469,-0.0630630040775435,-0.05530546623794208,-0.0641797961075069
2009-07-15,0.042873696407879525,0.08408309233337108,0.01756935604359655,0.061363207548188026,0.04293425302672582,0.01160948284960428,0.0033244680851063357,0.03415233415233421
2009-07-16,0.026553837175371964,0.05993403947972076,0.02576944392279601,0.054223921414538356,0.036310239761274454,-0.016630171200770927,0.019410977242302563,0.026900296150049297
2009-07-17,0.10961007061713235,0.06951628670165388,0.05999571304917817,0.0761180513112516,0.021175057936111408,0.01924353019243541,0.04989747095010255,0.14270557029177722
2009-07-20,0.09923195084485403,0.05743369180587532,0.07567341793091287,0.11199519923623957,0.09103938331485462,0.08535443256633157,0.06451612903225801,0.1630208333333334
2009-07-21,0.19123760793092415,0.07769835647542989,0.08666664086021503,0.11561866125760645,0.15272375833863694,0.1169705806451613,0.08304498269896188,0.20495911369031927
2009-07-22,0.11750454270139299,0.04027603832417048,0.08640518430951105,0.11140002399999993,0.14218267415503338,0.11985335386598939,0.0723140495867769,0.17691916624300963
2009-07-23,0.17135086128739796,0.07933797270573884,0.10758395232936091,0.15797982222222218,0.20298929048686642,0.1492890610775892,0.09881697981906745,0.26742045753352617
2009-07-24,0.12772218952324899,0.06275431796062336,0.08333330682782059,0.14785214785214795,0.20896281182806153,0.16022099447513805,0.08054607508532419,0.26430801248699276
2009-07-27,0.10154462242562934,0.013333455493294899,0.09539893023382695,0.11579879676896154,0.2664217206012167,0.18526541651358341,0.09053778080326746,0.21440950730378816
2009-07-28,0.019722222222222197,-0.04867507971771856,0.0277891421469858,0.06873822975517885,0.1826068651285231,0.09546167598531574,0.04705102717031151,0.11095272036113091
2009-07-29,0.03638430926662872,-0.06289656693665513,0.025223746640881783,0.06522549676744682,0.1979904718534602,0.14040382496702408,0.04267892317793831,0.10358086998317706
2009-07-30,0.05451023796347543,-0.025872596921996394,0.02324641140295758,0.09357798165137621,0.25748681211869395,0.1643229322916666,0.04166666666666674,0.14298978644382543
2009-07-31,0.07881498043599766,-0.034185089772270305,-0.011923688109927943,0.0836314847942754,0.18039996286888216,0.10728398024691366,0.013539651837524147,0.11464397671294213
2009-08-03,0.08617449664429522,0.04284011798946241,0.012269962689965608,0.15618186181818183,0.1608113983068178,0.1654947062131178,0.012140575079872207,0.1427320490367776
2009-08-04,0.06829268292682933,0.09646116837668939,0.01157379733131747,0.13190568007401793,0.16554840099086454,0.16419033244738857,0.021194605009633882,0.1101511879049677
2009-08-05,0.028637770897832926,0.08251551590501705,-0.013792405522360274,0.0942079533661977,0.2238984888593365,0.18132201334141906,-0.03229892336922102,0.04688796680497931
2009-08-06,0.018267223382046005,0.12380919526461898,-0.023096473162221298,0.1505657093124455,0.34249298107103665,0.27261904761904754,-0.024005053695514866,0.026748971193415683
2009-08-07,0.006491820306413931,0.20066021552970792,-0.017822736030828512,0.17027806993010475,0.22405246273902013,0.07381167174846892,-0.02372034956304614,-0.01264016309887872
2009-08-10,0.03432307273222546,0.20298786812129355,0.02385685884691857,0.1788546255506609,0.20435306513606055,0.07880953809523805,-0.013607594936708822,0.0021385799828914642
2009-08-11,0.017827756445419674,0.17372884582431802,0.015873015873015817,0.14573137070950493,0.08580648899294774,-0.015289168448166524,-0.0110201511335013,0.003919860627177751
2009-08-12,-0.021254263972710574,0.15852444564850932,0.002173006665199262,0.09563758389261734,0.14078445937145978,0.009841185285065723,-0.004062499999999969,-0.06092607636068237
2009-08-13,-0.004145077720207224,0.18822339510086916,0.017095735709676596,0.10441601320676841,0.1587130896078217,0.05318313159059507,0.01049618320610679,-0.031940538368822824
2009-08-14,-0.04720711814137424,0.11331614566959525,-0.011730205278592365,0.02217325910967416,0.16714228881975624,-0.005602253752179487,0.0006313131313131493,-0.09731800766283527
2009-08-17,-0.07635717909690509,0.05647054316148781,-0.020927013986161036,0.014308426073131875,0.12733234949712813,-0.02898549502017278,-0.008176100628930816,-0.1262645914396887
2009-08-18,-0.08151492350137945,0.02986744665895613,-0.0023805038399462575,0.045918347335745846,0.038205612020999924,-0.0517454045174538,0.02945026178010468,-0.09532302814110183
2009-08-19,-0.059456688877498665,-0.025424688522240446,0.02113802418988553,-0.027231467473525006,-0.057116654885466134,-0.1406922581852199,0.02783171521035599,-0.0735470941883768
2009-08-20,-0.011867905056759498,-0.04410864453777852,0.014222658165767621,-0.031784125937031504,-0.007347001683579046,0.015109610748366809,0.032289002557544855,-0.0359281437125748
2009-08-21,0.04503555438504092,-0.018269505737940284,0.02485434563106792,-0.01479824215246639,0.03769447144448557,0.06996244003580965,0.06897658004491491,0.023260776781903525
2009-08-24,0.10482349770951216,0.04620968679757942,0.03212892968750003,0.014047872442893627,0.18660453907366903,0.20826526850147853,0.06813116841770128,0.09067245119305856
2009-08-25,0.09946380697050938,0.02589728412829828,0.05066038361506919,0.027565084226646164,0.11360824535046388,0.18161683277962348,0.06840288672732986,0.07288062283737018
2009-08-26,0.042143600416232996,0.010578405365086807,0.0432073867540268,-0.0005979431988042405,0.10132347135916131,0.19839088371943814,0.06672961913755104,-0.01162066818842078
2009-08-27,0.026199740596627663,0.027288326275460184,0.03996045895153322,0.020923040000000004,0.052268619321659715,0.20368364030335862,0.06782334384858046,0.00679117147707986
2009-08-28,0.11013457841252405,0.09566231555857807,0.06272471758620002,0.05344823824451406,0.17199407461497485,0.2842504070071339,0.0849714648065949,0.07481629926519706
