Date,AAL.L,BARC.L,BP.L,HSBA.L,LLOY.L,RBS.L,RDSA.L,RIO.L
2009-07-14,-0.04720887754532576,0.03303793310531516,-0.033620124707129787,0.0025482480030437522,-0.03657140775591646,-0.0651392392152647,-0.05689364843945716,-0.06633191081461236
2009-07-15,0.04198007224088284,0.0807345535237986,0.017416799199418357,0.059554126733388356,0.042038137624016245,0.01154260987966544,0.003318954258063717,0.03358209033393001
2009-07-16,0.026207403422894567,0.05820667928187773,0.02544300797117053,0.05280487671494714,0.03566655823735519,-0.01677000497197561,0.019224987202399214,0.026544843614367222
2009-07-17,0.10400866587594033,0.06720647775691559,0.05826486382256946,0.07336016883609518,0.0209539818175366,0.019060715081122122,0.04869251268749319,0.13339875783422275
2009-07-20,0.09461170942599482,0.05584492718835199,0.07294690073551703,0.10615587858547385,0.0871308045631566,0.08190659960846758,0.06252035698133393,0.1510207868183307
2009-07-21,0.17499277335581856,0.0748276155897282,0.08311488296223792,0.10940910418382646,0.1421276274462043,0.11062018191135509,0.079776502427721,0.18644563581951137
2009-07-22,0.11109811255449946,0.039486099400784264,0.08287424981892691,0.10562050345806899,0.1329410582971508,0.11319774268616861,0.06981897644925697,0.16290014813127535
2009-07-23,0.15815766508904466,0.07634786494659991,0.10218102352187897,0.1466769543204274,0.18480953461448388,0.13914354344733196,0.09423412817661712,0.23698369911638634
2009-07-24,0.12019983685887384,0.06086395125544647,0.08004268320690898,0.1378924985335352,0.18976281171214776,0.14861049945164287,0.07746653842984443,0.23452494680435637
2009-07-27,0.09671339703948285,0.013245347302607022,0.09111861676834622,0.10957055807144254,0.23619538089147907,0.16996672968751797,0.08667095145442717,0.19425795643605068
2009-07-28,0.0195302590526329,-0.04989961308394739,0.027410031351078085,0.06647872811361885,0.16772120950234043,0.09117589631532226,0.045977667253163636,0.1052179538213884
2009-07-29,0.035738029941104824,-0.06496161536174298,0.024910878174444113,0.06318651080283792,0.18064554628388324,0.13138243210812445,0.04179328891191925,0.09856022901646101
2009-07-30,0.05307642972168646,-0.0262131799121736,0.022980329326280392,0.08945487240210574,0.229115135556004,0.15213974407202455,0.0408219945202552,0.13364744902806494
