Date,Close
2009-01-07,486.03
2009-01-08,501.9
2009-01-09,526.7
2009-01-12,545.54
2009-01-13,506.86
2009-01-14,413.62
2009-01-15,395.77
2009-01-16,344.19
2009-01-19,115.06
2009-01-20,102.17
2009-01-21,123.99
2009-01-22,121.01
2009-01-23,120.02
2009-01-26,143.82
2009-01-27,155.73
2009-01-28,211.27
2009-01-29,208.3
2009-01-30,218.22
2009-02-02,202.35
2009-02-03,204.33
2009-02-04,206.31
2009-02-05,218.22
2009-02-06,238.06
2009-02-09,245.99
2009-02-10,236.07
2009-02-11,234.09
2009-02-12,238.06
2009-02-13,216.23
2009-02-16,202.35
2009-02-17,205.32
2009-02-18,179.53
2009-02-19,216.23
2009-02-20,191.44
2009-02-23,210.28
2009-02-24,219.21
2009-02-25,229.13
2009-02-26,287.65
2009-02-27,230.12
2009-03-02,224.17
2009-03-03,214.25
2009-03-04,225.16
2009-03-05,206.31
2009-03-06,196.4
2009-03-09,188.46
2009-03-10,208.3
2009-03-11,210.28
2009-03-12,209.29
2009-03-13,216.23
2009-03-16,226.15
2009-03-17,220.2
2009-03-18,229.13
2009-03-19,240.04
2009-03-20,238.06
2009-03-23,247.97
2009-03-24,251.94
2009-03-25,245.99
2009-03-26,263.84
2009-03-27,263.84
2009-03-30,231.11
2009-03-31,243.01
2009-04-01,248.97
2009-04-02,279.71
2009-04-03,303.52
2009-04-06,295.59
2009-04-07,264.84
2009-04-08,258.88
2009-04-09,287.65
2009-04-14,289.63
2009-04-15,274.76
2009-04-16,283.68
2009-04-17,324.35
2009-04-20,322.37
2009-04-21,303.52
2009-04-22,315.42
2009-04-23,312.45
2009-04-24,330.3
2009-04-27,340.22
2009-04-28,324.35
2009-04-29,365.02
2009-04-30,414.61
2009-05-01,436.43
2009-05-05,476.11
2009-05-06,453.3
2009-05-07,412.63
2009-05-08,470.16
2009-05-11,457.26
2009-05-12,431.47
2009-05-13,376.92
2009-05-14,391.8
2009-05-15,391.8
2009-05-18,409.65
2009-05-19,427.51
2009-05-20,420.56
2009-05-21,395.77
2009-05-22,405.69
2009-05-26,398.74
2009-05-27,388.82
2009-05-28,370.97
2009-05-29,378.9
2009-06-01,398.74
2009-06-02,377.91
2009-06-03,358.07
2009-06-04,368.99
2009-06-05,367.99
2009-06-08,350.14
2009-06-09,358.07
2009-06-10,375.93
2009-06-11,393.78
2009-06-12,395.77
2009-06-15,375.93
2009-06-16,377.91
2009-06-17,367.0
2009-06-18,376.92
2009-06-19,369.18
2009-06-22,356.29
2009-06-23,349.05
2009-06-24,352.52
2009-06-25,364.52
2009-06-26,378.11
2009-06-29,387.73
2009-06-30,386.64
2009-07-01,390.81
2009-07-02,375.93
2009-07-03,384.66
2009-07-06,373.65
2009-07-07,370.08
2009-07-08,353.61
2009-07-09,351.73
2009-07-10,355.79
2009-07-13,359.07
2009-07-14,366.21
2009-07-15,380.29
2009-07-16,378.31
2009-07-17,380.89
2009-07-20,401.72
2009-07-21,394.97
2009-07-22,396.76
2009-07-23,408.86
2009-07-24,416.6
2009-07-27,434.05
2009-07-28,416.6
2009-07-29,431.38
2009-07-30,443.48
2009-07-31,444.87
2009-08-03,460.34
2009-08-04,458.55
2009-08-05,483.05
2009-08-06,530.17
2009-08-07,466.19
2009-08-10,449.43
2009-08-11,424.83
2009-08-12,447.84
2009-08-13,468.47
2009-08-14,457.76
2009-08-17,445.26
2009-08-18,458.06
2009-08-19,455.58
2009-08-20,473.13
2009-08-21,480.87
2009-08-24,513.31
2009-08-25,529.18
2009-08-26,561.41
2009-08-27,551.0
2009-08-28,571.83
2009-09-01,550.5
2009-09-02,525.71
2009-09-03,544.45
2009-09-04,552.49
2009-09-07,561.91
2009-09-08,555.96
2009-09-09,564.39
2009-09-10,553.48
2009-09-11,551.49
2009-09-14,545.54
2009-09-15,552.98
2009-09-16,556.45
2009-09-17,558.93
2009-09-18,558.44
2009-09-21,529.67
2009-09-22,529.67
2009-09-23,520.25
2009-09-24,515.79
2009-09-25,515.79
2009-09-28,511.82
2009-09-29,515.79
2009-09-30,525.21
2009-10-01,501.4
2009-10-02,462.62
2009-10-05,481.66
2009-10-06,494.46
2009-10-07,492.48
2009-10-08,485.53
2009-10-09,479.48
2009-10-12,477.1
2009-10-13,465.79
2009-10-14,479.38
2009-10-15,477.7
2009-10-16,466.19
2009-10-19,465.4
2009-10-20,462.03
2009-10-21,454.59
2009-10-22,451.41
2009-10-23,466.98
2009-10-26,440.6
2009-10-27,404.79
2009-10-28,392.79
2009-10-29,430.19
2009-10-30,416.5
2009-11-02,383.37
2009-11-03,356.39
2009-11-04,361.74
2009-11-05,349.25
2009-11-06,370.47
2009-11-09,390.71
2009-11-10,387.14
2009-11-11,380.59
2009-11-12,369.08
2009-11-13,371.37
2009-11-16,371.56
2009-11-17,374.74
2009-11-18,361.74
2009-11-19,357.18
2009-11-20,356.98
2009-11-23,374.94
2009-11-24,360.16
2009-11-25,354.7
2009-11-26,327.23
2009-11-27,344.49
2009-11-30,329.11
2009-12-01,339.82
2009-12-02,332.78
2009-12-03,348.35
2009-12-04,343.49
2009-12-07,327.33
2009-12-08,302.03
2009-12-09,300.84
2009-12-10,310.86
2009-12-11,303.12
2009-12-14,307.39
