Date,Close
2009-01-07,427.8
2009-01-08,425.98
2009-01-09,418.16
2009-01-12,424.96
2009-01-13,425.79
2009-01-14,391.71
2009-01-15,364.24
2009-01-16,356.43
2009-01-19,333.32
2009-01-20,322.65
2009-01-21,342.96
2009-01-22,350.62
2009-01-23,342.96
2009-01-26,359.93
2009-01-27,353.44
2009-01-28,387.87
2009-01-29,365.25
2009-01-30,361.43
2009-02-02,350.62
2009-02-03,350.78
2009-02-04,362.25
2009-02-05,358.92
2009-02-06,365.59
2009-02-09,369.58
2009-02-10,357.42
2009-02-11,350.62
2009-02-12,354.94
2009-02-13,352.61
2009-02-16,352.94
2009-02-17,328.99
2009-02-18,335.31
2009-02-19,331.32
2009-02-20,317.52
2009-02-23,315.53
2009-02-24,314.02
2009-02-25,327.63
2009-02-26,350.62
2009-02-27,326.82
2009-03-02,265.45
2009-03-03,262.8
2009-03-04,266.78
2009-03-05,251.13
2009-03-06,240.0
2009-03-09,232.18
2009-03-10,265.45
2009-03-11,248.82
2009-03-12,256.79
2009-03-13,273.94
2009-03-16,294.06
2009-03-17,306.03
2009-03-18,290.58
2009-03-19,300.23
2009-03-20,283.24
2009-03-23,318.92
2009-03-24,298.72
2009-03-25,285.73
2009-03-26,304.82
2009-03-27,307.31
2009-03-30,282.87
2009-03-31,301.57
2009-04-01,313.59
2009-04-02,350.41
2009-04-03,331.71
2009-04-06,344.12
2009-04-07,337.44
2009-04-08,333.64
2009-04-09,361.9
2009-04-14,367.42
2009-04-15,363.78
2009-04-16,372.56
2009-04-17,370.27
2009-04-20,350.41
2009-04-21,343.73
2009-04-22,358.44
2009-04-23,350.81
2009-04-24,363.43
2009-04-27,356.14
2009-04-28,348.9
2009-04-29,355.21
2009-04-30,366.83
2009-05-01,367.98
2009-05-05,395.08
2009-05-06,411.52
2009-05-07,423.71
2009-05-08,440.89
2009-05-11,441.28
2009-05-12,427.15
2009-05-13,405.0
2009-05-14,412.09
2009-05-15,406.16
2009-05-18,424.1
2009-05-19,438.98
2009-05-20,428.67
2009-05-21,412.63
2009-05-22,409.6
2009-05-26,412.45
2009-05-27,420.65
2009-05-28,416.29
2009-05-29,424.85
2009-06-01,421.45
2009-06-02,408.44
2009-06-03,404.26
2009-06-04,405.59
2009-06-05,400.04
2009-06-08,399.67
2009-06-09,395.27
2009-06-10,409.2
2009-06-11,418.55
2009-06-12,417.6
2009-06-15,404.42
2009-06-16,399.28
2009-06-17,405.19
2009-06-18,399.67
2009-06-19,398.51
2009-06-22,390.49
2009-06-23,391.26
2009-06-24,395.29
2009-06-25,385.92
2009-06-26,389.35
2009-06-29,390.31
2009-06-30,383.67
2009-07-01,388.98
2009-07-02,385.1
2009-07-03,388.41
2009-07-06,386.66
2009-07-07,383.79
2009-07-08,385.55
2009-07-09,384.48
2009-07-10,379.87
2009-07-13,382.11
2009-07-14,389.96
2009-07-15,397.76
2009-07-16,409.23
2009-07-17,416.07
