Date,HSBA.UK,BARC.UK,LLOY.UK,RBS.UK,BP.UK,RDSA.UK,RIO.UK,AAL.UK
2009-01-20,-0.24579242636746146,-0.5706890569703699,-0.6383920089031243,-0.7897866386848549,-0.049165120593691936,-0.03988919667590041,-0.1859803076601636,-0.2429040951817525
2009-01-21,-0.19489177895675858,-0.6265113182423435,-0.6487558931377684,-0.7529587567244471,-0.08697637530341995,-0.08908202064095605,-0.12715534927828287,-0.18977888007824772
2009-01-22,-0.1615171226324852,-0.6692581133565927,-0.6266032403677704,-0.7702487184355421,-0.05638903259182615,-0.06263982102908261,-0.05765992451369395,-0.14832768920512907
2009-01-23,-0.19295933734939763,-0.7226704110288487,-0.6496044171427204,-0.7799978003446126,-0.0422496294993846,-0.03384094754653133,-0.052290083829043654,-0.12474504747391868
2009-01-26,-0.15467718828530497,-0.4653242417785354,-0.509773181277973,-0.7162530087203567,-0.014559253931246574,-0.006659267480577213,0.06495495861061507,-0.0461737446835524
2009-01-27,-0.09769982895509433,-0.3666832504145937,-0.4275035868005739,-0.6234949954064117,0.04091456077015643,0.03859649122807007,0.18770933116905386,0.04098885390814777
2009-01-28,0.06487480781902044,-0.1794795337489835,-0.025117790414297292,-0.4661798519342042,0.04027642233534667,0.06411024565608159,0.15273492917783238,0.11372873366950365
2009-01-29,0.02474539180203683,0.023482024768546106,-0.09554161896136304,-0.3948110055492605,0.014241164241164173,0.06253687315634227,0.02852387631628539,-0.02334794475229507
2009-01-30,0.0843333733349334,0.20566929555588254,0.3953951623334624,0.896575699634973,0.011295298854782088,0.011695906432748426,0.011431174582322567,-0.05098259213926293
2009-02-02,0.08668836200216967,0.3017876769897201,0.9686983936345892,0.9805226583145736,-0.026623876765083487,0.0017311021350261413,0.08881972963723483,-0.05053092197226883
2009-02-03,0.022801492885467622,0.39635994153089227,0.9667051936915103,0.647955480280668,0.0031324032640167587,0.04531902206320826,0.10926204504617432,-0.024333669624302612
2009-02-04,0.033169813473275855,0.6367255140019503,0.9388356164383562,0.7049004214527725,0.02041562238930661,0.03281622911694493,0.21158033110134333,0.10481262397912672
2009-02-05,0.04653603918824367,0.953120684893676,1.0404856918721643,0.8181969671721381,0.02871829840803586,0.0011675423234092097,0.20616901612686034,0.10237317190764461
2009-02-06,0.01572527991553896,0.1815162665887322,0.6104348274617015,0.6552635238492561,0.005914776874480943,-0.025698324022346175,0.181750635841454,0.09096127448941393
2009-02-09,0.045665459483929416,0.2911702322658358,0.4978071824173622,0.5795928851216852,0.005453631565720096,-0.015202702702702853,0.1714211468499165,0.11590076239417058
2009-02-10,-0.07850568489442333,0.059995374805907,-0.05946270248650076,0.11738533629952186,-0.002510141987829506,-0.03490990990990994,0.17832758671211857,-0.006340283156726412
2009-02-11,-0.04005475701574268,0.08172879245327369,-0.01794891172914137,0.12381180988958218,0.02206108434969778,-0.02831760133259309,0.2703162051313366,0.028385851109775206
2009-02-12,-0.01795645076501673,-0.010372821873993354,0.0022061958879475707,0.09091742278434611,0.028233104090180428,0.010982658959537428,0.3179428092594532,0.045821764442454116
2009-02-13,0.005675660258969817,0.059014887197506694,-0.3038853090326761,0.0685940202619224,0.042834911507926066,0.02016129032258074,0.23848579202231646,0.0387080845304828
2009-02-16,0.006157705684474601,0.052008731952051246,-0.36413960454226624,-0.009690207018059116,0.01590175549082895,0.0011409013120364797,0.1492423457615626,0.003128618016950968
2009-02-17,-0.0918150448585231,-0.0030644259065590873,-0.4590384003956618,-0.004798604042460464,-0.014532057514199503,-0.016175621028307163,0.019343245121806518,-0.12838471741451263
2009-02-18,-0.06578067535941157,-0.06701073444330541,-0.49502716255745927,-0.17729813949225548,-0.047343463185804624,-0.005830903790087327,0.02559852986638278,-0.12286584378138465
2009-02-19,-0.09373888782515927,-0.03531554626100453,-0.45904264689396734,-0.09169957153658748,-0.05424610919281392,-0.024655963302752326,0.021989537236315027,-0.16879036747268172
2009-02-20,-0.14086260079008606,-0.1807497693095511,-0.4397911891177406,-0.2217569819911379,-0.09580823355912715,-0.0577472841623784,-0.05728229523551309,-0.316246800993485
2009-02-23,-0.11720105198366082,-0.12978027115474544,-0.40146360479126797,-0.10924725716948358,-0.09842149411555379,-0.06067677946324379,-0.042027255545608155,-0.27000811655697254
2009-02-24,-0.10438651531572651,-0.09492832319721978,-0.38333525722421014,-0.06356529539920541,-0.10832560354985077,-0.08971428571428575,-0.09242108636436475,-0.2498208977346652
2009-02-25,-0.07694258184481884,0.005723327610005713,-0.3685300973028969,-0.037511551709653035,-0.08652250440030163,-0.08233276157804448,-0.0951328840284843,-0.233381292499529
2009-02-26,-0.005643628938487355,0.12432584533133229,0.22150408062660887,0.3302964436017204,-0.09150921921238331,-0.1044607566346698,-0.057832166168341415,-0.20340699005194118
2009-02-27,-0.07400691335637788,-0.03812782894657041,0.03369011061089422,0.13723745984680025,-0.09445951181712509,-0.11965811965811979,-0.06441039088748657,-0.2222320114886831
2009-03-02,-0.19313656950059277,-0.09211778195213594,-0.04074968980604721,0.09180790960451968,-0.14151825120722772,-0.14856136230182038,-0.11333322245875466,-0.25204602393987197
2009-03-03,-0.2162476514270376,-0.12325082091437234,-0.10430321085733196,0.1933938617501254,-0.15334385955522256,-0.19530791788856305,-0.14065626753074945,-0.2459232857485827
2009-03-04,-0.19479657129059524,-0.1463986013986016,-0.16024749104473202,0.041298617213152644,-0.12831366738980898,-0.1428571428571429,-0.07701893727274867,-0.16343436938094014
